id,n_sentences,input,answer
89,4,"After leaving France, the group spent three weeks in Argentina. Exports from Peru rose sharply while Greece reported a decline. The documentary contrasted life in Greece with that in Italy. Researchers in Brazil collaborated with a team based in Norway.","{""Argentina"": 1, ""Brazil"": 1, ""France"": 1, ""Greece"": 2, ""Italy"": 1, ""Norway"": 1, ""Peru"": 1}"
90,4,"The documentary contrasted life in Chile with that in Egypt. After leaving Greece, the group spent three weeks in Sweden. Exports from India rose sharply while Spain reported a decline. Exports from Japan rose sharply while Kenya reported a decline.","{""Chile"": 1, ""Egypt"": 1, ""Greece"": 1, ""India"": 1, ""Japan"": 1, ""Kenya"": 1, ""Spain"": 1, ""Sweden"": 1}"
91,4,Researchers in India collaborated with a team based in Mexico. Sweden and Canada signed a joint statement on trade. The documentary contrasted life in France with that in China. France and Greece signed a joint statement on trade.,"{""Canada"": 1, ""China"": 1, ""France"": 2, ""Greece"": 1, ""India"": 1, ""Mexico"": 1, ""Sweden"": 1}"
92,4,Mexico and Spain signed a joint statement on trade. Mexico and Poland signed a joint statement on trade. Exports from Chile rose sharply while Canada reported a decline. Researchers in Japan collaborated with a team based in Spain.,"{""Canada"": 1, ""Chile"": 1, ""Japan"": 1, ""Mexico"": 2, ""Poland"": 1, ""Spain"": 2}"
93,4,"Researchers in France collaborated with a team based in Spain. After leaving Chile, the group spent three weeks in Sweden. Researchers in Argentina collaborated with a team based in France. After leaving Sweden, the group spent three weeks in Poland.","{""Argentina"": 1, ""Chile"": 1, ""France"": 2, ""Poland"": 1, ""Spain"": 1, ""Sweden"": 2}"
94,4,"After leaving Kenya, the group spent three weeks in Chile. Germany and Australia signed a joint statement on trade. Researchers in China collaborated with a team based in Australia. Researchers in China collaborated with a team based in Canada.","{""Australia"": 2, ""Canada"": 1, ""Chile"": 1, ""China"": 2, ""Germany"": 1, ""Kenya"": 1}"
95,4,Researchers in France collaborated with a team based in Peru. Researchers in Spain collaborated with a team based in Canada. The documentary contrasted life in Sweden with that in Spain. Researchers in Sweden collaborated with a team based in France.,"{""Canada"": 1, ""France"": 2, ""Peru"": 1, ""Spain"": 2, ""Sweden"": 2}"
96,4,Researchers in Australia collaborated with a team based in Norway. The delegation travelled from Germany to Greece before the summit. Spain and Sweden signed a joint statement on trade. Exports from Mexico rose sharply while China reported a decline.,"{""Australia"": 1, ""China"": 1, ""Germany"": 1, ""Greece"": 1, ""Mexico"": 1, ""Norway"": 1, ""Spain"": 1, ""Sweden"": 1}"
97,4,The documentary contrasted life in Spain with that in Argentina. Researchers in Chile collaborated with a team based in China. Spain and Kenya signed a joint statement on trade. The documentary contrasted life in Germany with that in Australia.,"{""Argentina"": 1, ""Australia"": 1, ""Chile"": 1, ""China"": 1, ""Germany"": 1, ""Kenya"": 1, ""Spain"": 2}"
98,4,The documentary contrasted life in Germany with that in Japan. Researchers in Poland collaborated with a team based in Sweden. Chile and Italy signed a joint statement on trade. The delegation travelled from Japan to Germany before the summit.,"{""Chile"": 1, ""Germany"": 2, ""Italy"": 1, ""Japan"": 2, ""Poland"": 1, ""Sweden"": 1}"
99,4,"After leaving Sweden, the group spent three weeks in China. After leaving Greece, the group spent three weeks in Japan. After leaving India, the group spent three weeks in Kenya. Researchers in Canada collaborated with a team based in Germany.","{""Canada"": 1, ""China"": 1, ""Germany"": 1, ""Greece"": 1, ""India"": 1, ""Japan"": 1, ""Kenya"": 1, ""Sweden"": 1}"
